,SOURCE_KEY,DAY,DC_efficiency_unnorm,DC_efficiency,AC_efficiency_unnorm,AC_efficiency,alarm_negative_trend,alarm_negative_trend_temp,alarm_AC_negative_trend,alarm_DC_conversion_fall,alarm_DC_conversion_jump,alarm_AC_conversion_fall,alarm_AC_conversion_jump,alarm_inefficient_inverter_day,alarm_AC_inefficient_inverter_day,alarm_inefficient_inverter_window,alarm_AC_inefficient_inverter_window
0,4UPUqMRk7TRMgml,136,1229.3013634332954,0.775009914912648,0.9784481740646603,0.9975259761983393,0,0,0,0,0,0,0,0,0,,
1,81aHJ1q11NBPMrL,136,1196.2731497262353,0.7541873616671726,0.9792157327702239,0.9983085007789474,0,0,0,0,0,0,0,0,0,,
2,9kRcWv60rDACzjR,136,1325.7054293066687,0.8357876128085396,0.976483610597321,0.9955231076330884,0,0,0,0,0,0,0,0,0,,
3,Et9kgGMDl729KT4,136,1160.0470256906485,0.7313486939965997,0.97879791229769,0.9978825336344551,0,0,0,0,0,0,0,0,0,,
4,IQ2d7wF4YD8zU1Q,136,1377.5390436432426,0.868465983004444,0.9761443312565836,0.9951772130169565,0,0,0,0,0,0,0,0,0,,
5,LYwnQax7tkwH5Cb,136,1323.9541807179453,0.8346835425942621,0.9766091988283222,0.995651144585938,0,0,0,0,0,0,0,0,0,,
6,LlT2YUhhzqhg5Sw,136,1316.6841261587435,0.8301001552061597,0.976459265040055,0.9954982873856582,0,0,0,0,0,0,0,0,0,,
7,Mx2yZCDsyf6DPfv,136,1371.7841974797263,0.8648378548918503,0.9765467769826444,0.9955875056378604,0,0,0,0,0,0,0,0,0,,
8,NgDl19wMapZy17u,136,1349.717367496056,0.8509258781083281,0.9762371447219816,0.9952718361611654,0,0,0,0,0,0,0,0,0,,
9,PeE6FRyGXUgsRhN,136,1305.7981276172943,0.8232371051402386,0.9765480821400013,0.9955888362432017,0,0,0,0,0,0,0,0,0,,
10,Qf4GUc1pJu5T6c6,136,1367.5531408732581,0.8621703960260996,0.9770112931028976,0.9960610789027483,0,0,0,0,0,0,0,0,0,,
11,Quc1TzYxW2pYoWX,136,992.2067316647453,0.6255342079305982,0.979043147792131,0.9981325507354882,0,0,0,0,0,0,0,1,0,,
12,V94E5Ben1TlhnDV,136,1340.6724552245178,0.8452235361940724,0.9764133279963302,0.995451454660533,0,0,0,0,0,0,0,0,0,,
13,WcxssY2VbP4hApt,136,1380.9919819170127,0.8706428791483474,0.9761646554410307,0.9951979334827598,0,0,0,0,0,0,0,0,0,,
14,mqwcsP2rE7J0TFp,136,1355.4556733352747,0.8545435784155782,0.9762668012196519,0.9953020709018224,0,0,0,0,0,0,0,0,0,,
15,oZ35aAeoifZaQzV,136,1386.7195940140964,0.8742538376130936,0.9764967609459191,0.9955365143874473,0,0,0,0,0,0,0,0,0,,
16,oZZkBaNadn6DNKz,136,1351.1311047759314,0.8518171651772083,0.9782614549811626,0.9973356164624043,0,0,0,0,0,0,0,0,0,,
17,q49J1IKaHRwDQnt,136,1310.9817734247788,0.8265051214425844,0.9766395946887109,0.9956821331054224,0,0,0,0,0,0,0,0,0,,
18,rrq4fwE8jgrTyWY,136,1300.4968090817458,0.8198949023660665,0.9779145833617229,0.9969819815331676,0,0,0,0,0,0,0,0,0,,
19,vOuJvMaM2sgwLmb,136,1368.4661731549104,0.862746014903589,0.9759838230797414,0.9950135752484611,0,0,0,0,0,0,0,0,0,,
20,xMbIugepa2P7lBB,136,1343.8487496327775,0.8472260229172692,0.9762247122111697,0.9952591612410082,0,0,0,0,0,0,0,0,0,,
21,xoJJ8DcxJEcupym,136,1273.6095464250507,0.8029438960761186,0.9793081726549858,0.9984027430584376,0,0,0,0,0,0,0,0,0,,
22,4UPUqMRk7TRMgml,137,1390.1103956019508,0.8763915598415546,0.9776695780037661,0.9967321990558246,0,0,0,0,0,0,0,0,0,,
23,81aHJ1q11NBPMrL,137,1293.0716738031597,0.8152137447332464,0.9771836995247372,0.9962368469084608,0,0,0,0,0,0,0,0,0,,
24,9kRcWv60rDACzjR,137,1353.1870668776917,0.8531133412500134,0.9772211801105182,0.9962750582914556,0,0,0,0,0,0,0,0,0,,
25,Et9kgGMDl729KT4,137,1278.6219200992284,0.8061039342980608,0.977798656406666,0.9968637942320145,0,0,0,0,0,0,0,0,0,,
26,IQ2d7wF4YD8zU1Q,137,1378.560440702106,0.8691099201798417,0.9767560601936877,0.9958008694571525,0,0,0,0,0,0,0,0,0,,
27,LYwnQax7tkwH5Cb,137,1103.2435882246668,0.6955371114613745,0.9791369585490668,0.9982281906164454,0,0,0,0,0,0,0,0,0,,
28,LlT2YUhhzqhg5Sw,137,1318.6044393031355,0.8313108117391389,0.9774003990325609,0.9964577716276369,0,0,0,0,0,0,0,0,0,,
29,Mx2yZCDsyf6DPfv,137,1372.1149151819286,0.8650463550252333,0.9778156314052899,0.9968811002095024,0,0,0,0,0,0,0,0,0,,
30,NgDl19wMapZy17u,137,1352.2785935080217,0.8525405965269767,0.9769282585465161,0.9959764253369201,0,0,0,0,0,0,0,0,0,,
31,PeE6FRyGXUgsRhN,137,1052.063333253757,0.6632706500141732,0.9792514699837956,0.9983449347974266,0,0,0,0,0,0,0,1,0,,
32,Qf4GUc1pJu5T6c6,137,1384.50687312608,0.8728588333625837,0.9766109471796944,0.9956529270267003,0,0,0,0,0,0,0,0,0,,
33,Quc1TzYxW2pYoWX,137,1111.7887640722893,0.7009243958194454,0.9786831320649044,0.9977655154143873,0,0,0,0,0,0,0,0,0,,
34,V94E5Ben1TlhnDV,137,1382.4069644032206,0.87153495125439,0.9776524806871163,0.9967147683753517,0,0,0,0,0,0,0,0,0,,
35,WcxssY2VbP4hApt,137,1414.6632871619881,0.8918708678166625,0.9767493929266706,0.9957940721916294,0,0,0,0,0,0,0,0,0,,
36,mqwcsP2rE7J0TFp,137,1360.8803223572054,0.8579635345809042,0.9768748452936632,0.9959219706313912,0,0,0,0,0,0,0,0,0,,
37,oZ35aAeoifZaQzV,137,1398.7921420649066,0.8818649447963689,0.9766516244477684,0.9956943974209636,0,0,0,0,0,0,0,0,0,,
38,oZZkBaNadn6DNKz,137,1373.988623379012,0.866227629587833,0.9778017271939324,0.9968669248935528,0,0,0,0,0,0,0,0,0,,
39,q49J1IKaHRwDQnt,137,1348.1242677186367,0.849921512409508,0.9787533379046024,0.9978370901289566,0,0,0,0,0,0,0,0,0,,
40,rrq4fwE8jgrTyWY,137,1296.638055045332,0.817462160707766,0.9774974599599376,0.9965567250509235,0,0,0,0,0,0,0,0,0,,
41,vOuJvMaM2sgwLmb,137,1320.478960162381,0.8324925986425298,0.9766950317400472,0.9957386510694983,0,0,0,0,0,0,0,0,0,,
42,xMbIugepa2P7lBB,137,1348.211450177739,0.8499764763688922,0.9769798203137388,0.9960289924565149,0,0,0,0,0,0,0,0,0,,
43,xoJJ8DcxJEcupym,137,1048.6590143305632,0.6611244058160611,0.9793329034373843,0.9984279560421276,0,0,0,0,0,0,0,1,0,,
44,4UPUqMRk7TRMgml,138,1401.9138083107648,0.8838329913336568,0.9784406854569735,0.9975183415776294,0,0,0,0,0,0,0,0,0,,
45,81aHJ1q11NBPMrL,138,1387.3062350132604,0.8746236839374941,0.9786968388432294,0.9977794894477512,0,0,0,0,0,0,0,0,0,,
46,9kRcWv60rDACzjR,138,1383.3207594404207,0.8721110510091726,0.9785753039601469,0.9976555848750793,0,0,0,0,0,0,0,0,0,,
47,Et9kgGMDl729KT4,138,1207.6234661637147,0.7613431397685445,0.9791262927121567,0.9982173168168331,0,0,0,0,0,0,0,0,0,,
48,IQ2d7wF4YD8zU1Q,138,1420.0542600130336,0.8952695929257897,0.9782230133740009,0.9972964253200147,0,0,0,0,0,0,0,0,0,,
49,LYwnQax7tkwH5Cb,138,1238.9312040904135,0.7810810234384302,0.9786062200598903,0.9976871037775559,0,0,0,0,0,0,0,0,0,,
50,LlT2YUhhzqhg5Sw,138,1363.737207870434,0.8597646507794081,0.9786127830006646,0.997693794682681,0,0,0,0,0,0,0,0,0,,
51,Mx2yZCDsyf6DPfv,138,1408.8021533285682,0.8881757309131745,0.9785207042895838,0.9975999206190438,0,0,0,0,0,0,0,0,0,,
52,NgDl19wMapZy17u,138,1391.976616931717,0.8775681143277148,0.9783931015501374,0.9974698298788229,0,0,0,0,0,0,0,0,0,,
53,PeE6FRyGXUgsRhN,138,1372.8646944069303,0.8655190514287816,0.9784702267546375,0.9975484588721081,0,0,0,0,0,0,0,0,0,,
54,Qf4GUc1pJu5T6c6,138,1430.2160109195754,0.9016760429141369,0.9782809543989195,0.9973554960801999,0,0,0,0,0,0,0,0,0,,
55,Quc1TzYxW2pYoWX,138,1036.4727813696918,0.6534416262706668,0.9798318158808292,0.9989365962904071,0,0,0,0,0,0,0,1,0,,
56,V94E5Ben1TlhnDV,138,1381.3616214315705,0.8708759174392394,0.9787474662957925,0.9978311040354002,0,0,0,0,0,0,0,0,0,,
57,WcxssY2VbP4hApt,138,1440.4972727316533,0.9081578382486181,0.978200777622726,0.9972737560156152,0,0,0,0,0,0,0,0,0,,
58,mqwcsP2rE7J0TFp,138,1398.3861615311866,0.8816089954024662,0.9784173699727914,0.9974945714876688,0,0,0,0,0,0,0,0,0,,
59,oZ35aAeoifZaQzV,138,1434.3644589910052,0.9042914214392848,0.978685745320406,0.9977681796231971,0,0,0,0,0,0,0,0,0,,
60,oZZkBaNadn6DNKz,138,1392.4723062458188,0.8778806203938206,0.9784693758992712,0.9975475914267468,0,0,0,0,0,0,0,0,0,,
61,q49J1IKaHRwDQnt,138,1227.084859133518,0.7736125254198256,0.9786194154994232,0.9977005565020336,0,0,0,0,0,0,0,0,0,,
62,rrq4fwE8jgrTyWY,138,1284.9665916212593,0.8101039163063006,0.9787111928873639,0.9977941233673262,0,0,0,0,0,0,0,0,0,,
63,vOuJvMaM2sgwLmb,138,1348.9512535452943,0.8504428835185108,0.9783045576978646,0.9973795595967416,0,0,0,0,0,0,0,0,0,,
64,xMbIugepa2P7lBB,138,1398.4174380602456,0.8816287136105848,0.9783670854604019,0.9974433065268477,0,0,0,0,0,0,0,0,0,,
65,xoJJ8DcxJEcupym,138,1315.4456301336825,0.8293193485402324,0.9788005768954599,0.9978852501866058,0,0,0,0,0,0,0,0,0,,
66,4UPUqMRk7TRMgml,139,1442.3030221010715,0.9092962683413317,0.9770723013807153,0.9961232767211913,0,0,0,0,0,0,0,0,0,,
67,81aHJ1q11NBPMrL,139,1389.651847799966,0.8761024695472046,0.9788595914422445,0.997945415400208,0,0,0,0,0,0,0,0,0,,
68,9kRcWv60rDACzjR,139,1428.2774136048517,0.9004538591725215,0.977257455898836,0.996312041385822,0,0,0,0,0,0,0,0,0,,
69,Et9kgGMDl729KT4,139,1060.2254139875572,0.6684164130330522,0.9797856898795815,0.9988895709234613,0,0,0,0,0,0,0,0,0,,
70,IQ2d7wF4YD8zU1Q,139,1481.9069464394656,0.9342644616133073,0.9769426772249405,0.9959911251510258,0,0,0,0,0,0,0,0,0,,
71,LYwnQax7tkwH5Cb,139,1239.6575364060986,0.781538937797693,0.9790037151181432,0.9980923492024316,0,0,0,0,0,0,0,0,0,,
72,LlT2YUhhzqhg5Sw,139,1280.7696497761738,0.8074579650050113,0.9780520104103149,0.997122088137111,0,0,0,0,0,0,0,0,0,,
73,Mx2yZCDsyf6DPfv,139,1442.8471024925727,0.9096392824389857,0.9772847722080179,0.9963398903089485,0,0,0,0,0,0,0,0,0,,
74,NgDl19wMapZy17u,139,1448.9661307478011,0.9134970082241325,0.9771006398461674,0.9961521677306114,0,0,0,0,0,0,0,0,0,,
75,PeE6FRyGXUgsRhN,139,1337.0672214986325,0.8429506257701102,0.9775614014444007,0.9966219132677339,0,0,0,0,0,0,0,0,0,,
76,Qf4GUc1pJu5T6c6,139,1477.3745862087999,0.9314070466447667,0.976925068011587,0.9959731725928769,0,0,0,0,0,0,0,0,0,,
77,Quc1TzYxW2pYoWX,139,1060.6314907577223,0.6686724230989768,0.9797582846160129,0.9988616313115137,0,0,0,0,0,0,0,0,0,,
78,V94E5Ben1TlhnDV,139,1268.448452253193,0.7996900973950398,0.978170084624376,0.9972424645645676,0,0,0,0,0,0,0,0,0,,
79,WcxssY2VbP4hApt,139,1466.6474375359276,0.9246441430740759,0.9770443654667096,0.9960947961121737,0,0,0,0,0,0,0,0,0,,
80,mqwcsP2rE7J0TFp,139,1460.2853224857743,0.9206331638379406,0.9770152986457121,0.9960651625457171,0,0,0,0,0,0,0,0,0,,
81,oZ35aAeoifZaQzV,139,1465.2566658754058,0.9237673346214492,0.9770382001834956,0.9960885106181439,0,0,0,0,0,0,0,0,0,,
82,oZZkBaNadn6DNKz,139,1388.4756745844197,0.8753609541378691,0.9771569706035933,0.9962095968262761,0,0,0,0,0,0,0,0,0,,
83,q49J1IKaHRwDQnt,139,1232.4527338251366,0.7769966883531476,0.9783959945214363,0.9974727792573342,0,0,0,0,0,0,0,0,0,,
84,rrq4fwE8jgrTyWY,139,1289.6844337521807,0.8130782678666413,0.9786771368719451,0.9977594033270354,0,0,0,0,0,0,0,0,0,,
85,vOuJvMaM2sgwLmb,139,1365.0593099683438,0.8605981666811111,0.9771288457240122,0.9961809235672284,0,0,0,0,0,0,0,0,0,,
86,xMbIugepa2P7lBB,139,1458.2971258417447,0.9193797103254386,0.977077283707991,0.9961283561939841,0,0,0,0,0,0,0,0,0,,
87,xoJJ8DcxJEcupym,139,1030.1950669654555,0.6494838572068752,0.978493980400349,0.9975726756668803,0,0,0,0,0,0,0,1,0,,
88,4UPUqMRk7TRMgml,140,1114.3881041035308,0.7025631431245125,0.9804431140509531,0.9995598135645197,0,0,0,0,0,0,0,0,0,,
89,81aHJ1q11NBPMrL,140,1287.8438577896989,0.8119178814369953,0.9764114947185921,0.9954495856375087,0,0,0,0,0,0,0,0,0,,
90,9kRcWv60rDACzjR,140,1368.883544759293,0.8630091457689907,0.9765888835404826,0.9956304331902083,0,0,0,0,0,0,0,0,0,,
91,Et9kgGMDl729KT4,140,1101.9176631944272,0.6947011854017169,0.9795191759775971,0.9986178605280676,0,0,0,0,0,0,0,0,0,,
92,IQ2d7wF4YD8zU1Q,140,1377.1223773785334,0.8682032968186438,0.9763194121071963,0.995355707597508,0,0,0,0,0,0,0,0,0,,
93,LYwnQax7tkwH5Cb,140,918.1612216843091,0.5788524046750246,0.979626055607679,0.9987268240993218,0,0,0,0,0,0,0,0,0,,
94,LlT2YUhhzqhg5Sw,140,1222.9020102775196,0.7709754590076271,0.9764739997923042,0.9955133094364025,0,0,0,0,0,0,0,0,0,,
95,Mx2yZCDsyf6DPfv,140,1421.44975813059,0.8961493811612209,0.976413893219217,0.9954520309041469,0,0,0,0,0,0,0,0,0,,
96,NgDl19wMapZy17u,140,1341.2338480793524,0.8455774648901594,0.976380253414457,0.9954177351897986,0,0,0,0,0,0,0,0,0,,
97,PeE6FRyGXUgsRhN,140,875.2136273540759,0.5517762031693041,0.9806628430174779,0.9997838268108433,0,0,0,0,0,0,0,0,0,,
98,Qf4GUc1pJu5T6c6,140,1345.084050518473,0.848004815215718,0.9806589485744652,0.9997798564339028,0,0,0,0,0,0,0,0,0,,
99,Quc1TzYxW2pYoWX,140,937.572537692334,0.5910902194332429,0.9800222734210552,0.9991307673755745,0,0,0,0,0,0,0,0,0,,
100,V94E5Ben1TlhnDV,140,1391.1761013135485,0.8770634312942637,0.9764963138717844,0.9955360585962522,0,0,0,0,0,0,0,0,0,,
101,WcxssY2VbP4hApt,140,1429.8073831167853,0.9014184245561887,0.9763812346395027,0.99541873554679,0,0,0,0,0,0,0,0,0,,
102,mqwcsP2rE7J0TFp,140,1342.975266686493,0.8466753378175741,0.9764163429061409,0.9954545283551156,0,0,0,0,0,0,0,0,0,,
103,oZ35aAeoifZaQzV,140,1447.8256595789594,0.9127780010792483,0.9764130804904586,0.9954512023287869,0,0,0,0,0,0,0,0,0,,
104,oZZkBaNadn6DNKz,140,1129.3560488715211,0.7119996457967775,0.9805128751891986,0.9996309349068387,0,0,0,0,0,0,0,0,0,,
105,q49J1IKaHRwDQnt,140,1029.255819946872,0.6488917113152272,0.9788593334023202,0.997945152329016,0,0,0,0,0,0,0,0,0,,
106,rrq4fwE8jgrTyWY,140,975.8842620251963,0.615243748501528,0.9777178503869226,0.9967814126548766,0,0,0,0,0,0,0,0,0,,
107,vOuJvMaM2sgwLmb,140,1270.6904010495032,0.8011035283059226,0.9761817795262311,0.9952153914537171,0,0,0,0,0,0,0,0,0,,
